created,text,retwc,hashtag,followers,friends

2021-06-11 04:36:58,"b""RT @thetimes: Yoshihide Suga\n\nThe Japanese prime minister's\xc2\xa0main priority will be to secure explicit support from G7 leaders for holding th\xe2\x80\xa6""",117,None,169,202

2021-06-11 04:36:46,"b'@business @Quicktake It is reported that Japan wants to get support from the G7 countries to host the Olympics, but\xe2\x80\xa6 https://t.co/0diLvo7qew'",0,None,33,168

2021-06-11 04:36:31,b'RT @JulesBoykoff: I am really looking forward to this online event on the #Tokyo2020 Olympics with Kenji Utsunomiya! (@utsunomiyakenji) The\xe2\x80\xa6',5,Tokyo2020,622,393

2021-06-11 04:36:28,"b""RT @American_Jen: I heard Japan has banned ALL BLM apparel from the Olympics. NO ONE can kneel/ raise fists during the anthems. I'm proud o\xe2\x80\xa6""",1351,None,676,1217

2021-06-11 04:36:26,b'Olympics too https://t.co/2ivELLodK3',0,None,525,493

2021-06-11 04:36:15,"b""RT @ultradavid: Reading again about how most people in Japan want to cancel the Olympics but it's actually the International Olympic Commit\xe2\x80\xa6""",240,None,2709,4883

2021-06-11 04:36:03,"b""RT @toisports: 'Misogynistic perverts': Aussie star pulls out of Olympic swim trials \n\nREAD: https://t.co/0Map0zKOtt \n\n#Olympics https://t.\xe2\x80\xa6""",2,Olympics,16,315

2021-06-11 04:35:39,b'RT @Lesley_NOPE: Cancel the Olympics https://t.co/BrpsEWfsa9',498,None,81,212

2021-06-11 04:35:31,"b""RT @American_Jen: I heard Japan has banned ALL BLM apparel from the Olympics. NO ONE can kneel/ raise fists during the anthems. I'm proud o\xe2\x80\xa6""",1351,None,302,1727

2021-06-11 04:35:21,b'RT @Lesley_NOPE: Cancel the Olympics https://t.co/BrpsEWfsa9',498,None,80,100

2021-06-11 04:35:20,b'ADVISORY OLYMPICS-2020/NEWS CONFERENCE https://t.co/XboMAaT0Lr',0,None,202,328

